IGRP,PLANT_NAME,SITE_NAME,PLANT_CODE,EMM_REGION,FuelRegion,STATE,LAT,LON,UNIT_ID,ECPT,SCAP,HeatRate,CF,R_CO2,CO2_EMIS,CAP_COST,VAR_COST,ACTIVE,SOURCE_TYPE,OGSM_Region
1538,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,6,B7,134,11524,0.52,0.9,1.24,433.02,10.25,,GEN,1
1540,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,7,B7,134,11462,0.51,0.9,1.24,431.19,10.27,,GEN,1
1543,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,8,B7,134,11478,0.52,0.9,1.24,432.67,10.25,,GEN,1
1546,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,9,B7,134,11479,0.56,0.9,1.24,430.89,10.27,,GEN,1
1557,Cooper,CAP_GEN_P1384,1384,11,16,KY,36.99,-84.59,1,CX,116,10815,0.5,0.9,1.01,364.58,11.16,,GEN,1
1559,Cooper,CAP_GEN_P1384,1384,11,16,KY,36.99,-84.59,2,B7,225,10903,0.5,0.9,1.98,549.8,9.14,,GEN,1
1568,R S Nelson,CAP_GEN_P1393,1393,6,18,LA,30.28,-93.29,6,C1,523.99,11851,0.5,0.9,5.02,1073.15,6.72,,GEN,2
1574,Coughlin Power Stati,CAP_GEN_P1396,1396,6,18,LA,30.84,-92.26,6,EC,736.3,7670,0.99,0.9,2.62,109.02,2.39,,GEN,2
1585,Nine Mile Point,CAP_GEN_P1403,1403,6,18,LA,29.94,-90.14,6B,EC,336,7292,0.61,0.9,1.14,420.45,10,,GEN,2
1586,Nine Mile Point,CAP_GEN_P1403,1403,6,18,LA,29.94,-90.14,6C,EC,554.9,7292,0.61,0.9,1.88,616.81,10,,GEN,2
131,Kyrene,CAP_GEN_P147,147,20,21,AZ,33.35,-111.93,KY7,EC,254,7339,0.54,0.9,0.86,183.66,2.74,,GEN,5
1655,Herbert A Wagner,CAP_GEN_P1554,1554,10,10,MD,39.17,-76.52,3,C1,305,12782,0.5,0.9,3.15,648.09,8.23,,GEN,1
1678,Morgantown Generatin,CAP_GEN_P1573,1573,10,10,MD,38.35,-76.97,ST1,C7,596,10641,0.5,0.9,5.12,1067.55,6.72,,GEN,1
1680,Morgantown Generatin,CAP_GEN_P1573,1573,10,10,MD,38.35,-76.97,ST2,C7,609,10465,0.5,0.9,5.15,1043.29,6.8,,GEN,1
1688,Mystic Generating St,CAP_GEN_P1588,1588,7,1,MA,42.39,-71.06,GT82,EC,1413.6,7530,0.24,0.9,4.95,242.16,2.35,,GEN,1
1691,Kendall Square Stati,CAP_GEN_P1595,1595,7,1,MA,42.36,-71.07,3,EC,22.9,10007,0.64,0.9,0.1,32.74,2.92,,GEN,1
1823,Monroe (MI),CAP_GEN_P1733,1733,5,5,MI,41.89,-83.34,4,C7,762,10409,0.56,0.9,6.41,1498.33,7.34,,GEN,1
1840,St Clair,CAP_GEN_P1743,1743,5,5,MI,42.76,-82.47,2,C1,154,11733,0.5,0.9,1.46,464.02,9.91,,GEN,1
1841,St Clair,CAP_GEN_P1743,1743,5,5,MI,42.76,-82.47,3,C1,160,11725,0.5,0.9,1.51,482.58,9.72,,GEN,1
1843,St Clair,CAP_GEN_P1743,1743,5,5,MI,42.76,-82.47,6,C1,311,11575,0.5,0.9,2.91,678.43,8.28,,GEN,1
1844,St Clair,CAP_GEN_P1743,1743,5,5,MI,42.76,-82.47,7,C1,440,10967,0.5,0.9,3.9,875.24,7.39,,GEN,1
1848,Trenton Channel,CAP_GEN_P1745,1745,5,5,MI,42.12,-83.18,9,C1,495,11521,0.5,0.9,4.61,946.95,7.14,,GEN,1
1907,Erickson Station,CAP_GEN_P1832,1832,5,5,MI,42.69,-84.65,1,C1,154.5,11274,0.53,0.9,1.4,520.97,9.4,,GEN,1
1958,Clay Boswell,CAP_GEN_P1893,1893,3,7,MN,47.26,-93.65,3,B5,352,10743,0.62,0.9,3.05,772.37,7.82,,GEN,3
1960,Clay Boswell,CAP_GEN_P1893,1893,3,7,MN,47.26,-93.65,4,B7,585,10746,0.66,0.9,5.08,892.48,6.91,,GEN,3
1974,Black Dog,CAP_GEN_P1904,1904,3,7,MN,44.81,-93.25,2,EC,117,7450,0.45,0.9,0.4,148.22,2.71,,GEN,3
1977,Black Dog,CAP_GEN_P1904,1904,3,7,MN,44.81,-93.25,5,EC,165,7450,0.45,0.9,0.57,218.93,2.71,,GEN,3
1981,High Bridge,CAP_GEN_P1912,1912,3,7,MN,44.93,-93.11,9,EC,530,7050,0.55,0.9,1.73,172.4,2.12,,GEN,3
1985,Allen S King,CAP_GEN_P1915,1915,3,7,MN,45.03,-92.77,1,B7,511,10029,0.5,0.9,4.14,932.13,7.19,,GEN,3
1991,Riverside (MN),CAP_GEN_P1927,1927,3,7,MN,45.02,-93.27,10,EC,147,7267,0.51,0.9,0.49,161.8,2.07,,GEN,3
1993,Riverside (MN),CAP_GEN_P1927,1927,3,7,MN,45.02,-93.27,9,EC,307,7267,0.51,0.9,1.03,161.8,2.07,,GEN,3
2027,Hibbing,CAP_GEN_P1979,1979,3,7,MN,47.42,-92.93,3,C1,10,8800,0.5,0.9,0.07,39.29,10,,GEN,3
2028,Hibbing,CAP_GEN_P1979,1979,3,7,MN,47.42,-92.93,5,C1,19.5,8800,0.5,0.9,0.13,67.68,10,,GEN,3
2029,Hibbing,CAP_GEN_P1979,1979,3,7,MN,47.42,-92.93,6,C1,1,8800,0.5,0.9,7.12E-03,5.5,10,,GEN,3
2254,Thomas Hill,CAP_GEN_P2168,2168,4,9,MO,39.55,-92.63,1,C1,165,9816,0.81,0.9,1.31,467.55,9.48,,GEN,3
2255,Thomas Hill,CAP_GEN_P2168,2168,4,9,MO,39.55,-92.63,2,C1,269,9894,0.73,0.9,2.15,685.25,8.26,,GEN,3
2256,Thomas Hill,CAP_GEN_P2168,2168,4,9,MO,39.55,-92.63,3,C1,701,9846,0.8,0.9,5.58,1493.17,7.51,,GEN,3
2315,Lon Wright,CAP_GEN_P2240,2240,19,8,NE,41.42,-96.46,6,B1,15.5,12326,0.5,0.9,0.15,56.24,10,,GEN,3
2316,Lon Wright,CAP_GEN_P2240,2240,19,8,NE,41.42,-96.46,7,B1,21,12183,0.5,0.9,0.2,71.82,10,,GEN,3
2317,Lon Wright,CAP_GEN_P2240,2240,19,8,NE,41.42,-96.46,8,C1,82,12031,0.5,0.9,0.79,335.83,11.64,,GEN,3
2341,Sheldon,CAP_GEN_P2277,2277,19,8,NE,40.55,-96.78,1,B1,104,11750,0.5,0.9,0.98,364.76,10.89,,GEN,3
2342,Sheldon,CAP_GEN_P2277,2277,19,8,NE,40.55,-96.78,2,B1,115,11752,0.5,0.9,1.09,411.99,10.29,,GEN,3
2348,North Omaha,CAP_GEN_P2291,2291,19,8,NE,41.32,-95.94,4,C1,120.1,10643,0.69,0.9,1.03,448.12,10.08,,GEN,3
2349,North Omaha,CAP_GEN_P2291,2291,19,8,NE,41.32,-95.94,5,C1,216.2,10968,0.62,0.9,1.91,576.57,8.93,,GEN,3
2382,Clark (NVE),CAP_GEN_P2322,2322,25,20,NV,36.08,-115.05,10,EC,85,9303,0.13,0.9,0.36,102.43,2.08,,GEN,5
2384,Clark (NVE),CAP_GEN_P2322,2322,25,20,NV,36.08,-115.05,9,EC,85,9303,0.13,0.9,0.36,102.43,2.08,,GEN,5
2386,Clark (NVE),CAP_GEN_P2322,2322,25,20,NV,36.08,-115.05,GT5,EC,292,9303,0.13,0.9,1.26,87.97,2.08,,GEN,5
2394,Tracy,CAP_GEN_P2336,2336,25,20,NV,39.56,-119.52,10,EC,263,7724,0.66,0.9,0.94,415.5,2.8,,GEN,5
2396,Tracy,CAP_GEN_P2336,2336,25,20,NV,39.56,-119.52,4,EC,394,7724,0.66,0.9,1.41,94.79,2.8,,GEN,5
2421,Merrimack,CAP_GEN_P2364,2364,7,1,NH,43.14,-71.46,1,C7,108,11621,0.5,0.9,1.01,345.11,11.24,,GEN,1
2423,Merrimack,CAP_GEN_P2364,2364,7,1,NH,43.14,-71.46,2,C7,330.5,11362,0.5,0.9,3.03,728.18,7.94,,GEN,1
2426,Schiller,CAP_GEN_P2367,2367,7,1,NH,43.09,-70.78,4,C1,47.5,18084,0.5,0.9,0.69,135.84,10,,GEN,1
2714,Asheville,CAP_GEN_P2706,2706,14,13,NC,35.47,-82.54,ST6,EC,170,7050,0.73,0.9,0.55,244.99,10,,GEN,1
2726,Roxboro,CAP_GEN_P2712,2712,14,13,NC,36.48,-79.07,1,C7,379,10629,0.5,0.9,3.25,794.27,7.86,,GEN,1
2728,Roxboro,CAP_GEN_P2712,2712,14,13,NC,36.48,-79.07,2,C7,668,10748,0.5,0.9,5.8,1068.84,6.78,,GEN,1
2730,Roxboro,CAP_GEN_P2712,2712,14,13,NC,36.48,-79.07,3,C7,694,10649,0.5,0.9,5.97,1119.24,6.65,,GEN,1
2732,Roxboro,CAP_GEN_P2712,2712,14,13,NC,36.48,-79.07,4,C7,698,10595,0.5,0.9,5.98,1120.19,6.65,,GEN,1
2744,G G Allen,CAP_GEN_P2718,2718,14,13,NC,35.19,-81.01,1,C4,162,11385,0.5,0.9,1.49,473.9,9.81,,GEN,1
2746,G G Allen,CAP_GEN_P2718,2718,14,13,NC,35.19,-81.01,2,C4,162,11101,0.5,0.9,1.45,473.75,9.81,,GEN,1
2748,G G Allen,CAP_GEN_P2718,2718,14,13,NC,35.19,-81.01,3,H4,258,10843,0.5,0.9,2.26,593.54,8.81,,GEN,1
2750,G G Allen,CAP_GEN_P2718,2718,14,13,NC,35.19,-81.01,4,H4,257,11412,0.5,0.9,2.37,615.28,8.67,,GEN,1
2752,G G Allen,CAP_GEN_P2718,2718,14,13,NC,35.19,-81.01,5,C4,259,11163,0.5,0.9,2.33,645.85,8.47,,GEN,1
2760,Buck,CAP_GEN_P2720,2720,14,13,NC,35.71,-80.37,ST10,EC,668,7086,0.76,0.9,2.2,280.01,1.99,,GEN,1
2765,James E. Rogers Ener,CAP_GEN_P2721,2721,14,13,NC,35.22,-81.75,5,C7,544,9779,0.5,0.9,4.3,959.03,7.1,,GEN,1
2767,James E. Rogers Ener,CAP_GEN_P2721,2721,14,13,NC,35.22,-81.75,6,B5,844,9287,0.59,0.9,6.33,7873.22,9999,,GEN,1
2773,Dan River,CAP_GEN_P2723,2723,14,13,NC,36.48,-79.72,CT9,EC,662,7133,0.75,0.9,2.19,160.57,1.98,,GEN,1
2775,Marshall (NC),CAP_GEN_P2727,2727,14,13,NC,35.59,-80.96,1,C4,370,9852,0.5,0.9,2.94,759.46,7.87,,GEN,1
2777,Marshall (NC),CAP_GEN_P2727,2727,14,13,NC,35.59,-80.96,2,C4,370,9862,0.5,0.9,2.95,753.03,7.9,,GEN,1
2780,Marshall (NC),CAP_GEN_P2727,2727,14,13,NC,35.59,-80.96,3,C7,658,9658,0.5,0.9,5.14,1070.88,6.78,,GEN,1
2783,Marshall (NC),CAP_GEN_P2727,2727,14,13,NC,35.59,-80.96,4,C4,660,9639,0.57,0.9,5.14,1056.78,6.81,,GEN,1
2929,Kyger Creek,CAP_GEN_P2876,2876,11,4,OH,38.91,-82.12,4,C7,192.2,10678,0.64,0.9,1.65,505.93,9.5,,GEN,1
2931,Kyger Creek,CAP_GEN_P2876,2876,11,4,OH,38.91,-82.12,5,C7,192.2,10760,0.63,0.9,1.67,524.34,9.34,,GEN,1
2947,Dover,CAP_GEN_P2914,2914,11,4,OH,40.52,-81.46,3,H1,8,19842,0.5,0.9,0.12,32.65,10,,GEN,1
2948,Dover,CAP_GEN_P2914,2914,11,4,OH,40.52,-81.46,4,B1,15.2,16636,0.5,0.9,0.2,55.35,10,,GEN,1
2958,Orrville,CAP_GEN_P2935,2935,11,4,OH,40.85,-81.76,10,C1,23,15668,0.5,0.9,0.29,77.22,10,,GEN,1
2960,Orrville,CAP_GEN_P2935,2935,11,4,OH,40.85,-81.76,7,C1,5,19842,0.5,0.9,0.08,22.02,10,,GEN,1
2961,Orrville,CAP_GEN_P2935,2935,11,4,OH,40.85,-81.76,8,C1,7.5,19842,0.5,0.9,0.12,30.94,10,,GEN,1
2962,Orrville,CAP_GEN_P2935,2935,11,4,OH,40.85,-81.76,9,C1,20,15720,0.5,0.9,0.25,69.07,10,,GEN,1
2963,Painesville,CAP_GEN_P2936,2936,11,4,OH,41.72,-81.25,3,C1,7,19842,0.5,0.9,0.11,29.21,10,,GEN,1
2964,Painesville,CAP_GEN_P2936,2936,11,4,OH,41.72,-81.25,5,C1,15.5,17850,0.5,0.9,0.22,56.24,10,,GEN,1
2965,Painesville,CAP_GEN_P2936,2936,11,4,OH,41.72,-81.25,7,C1,17.5,16949,0.5,0.9,0.23,62.04,10,,GEN,1
2966,Painesville,CAP_GEN_P2936,2936,11,4,OH,41.72,-81.25,ST2,C1,7,19842,0.5,0.9,0.11,29.21,10,,GEN,1
2984,Muskogee,CAP_GEN_P2952,2952,17,18,OK,35.76,-95.28,6,C1,503,11259,0.5,0.9,4.58,1002.7,6.98,,GEN,3
2991,Northeastern,CAP_GEN_P2963,2963,17,18,OK,36.43,-95.7,1,EC,444,7959,0.45,0.9,1.64,138.2,2.18,,GEN,3
2993,Northeastern,CAP_GEN_P2963,2963,17,18,OK,36.43,-95.7,3,B7,460,10520,0.53,0.9,3.91,903.82,7.29,,GEN,3
261,Limestone,CAP_GEN_P298,298,1,18,TX,31.42,-96.25,1,C4,831,10830,0.5,0.9,7.27,1637.05,7.07,,GEN,2
262,Limestone,CAP_GEN_P298,298,1,18,TX,31.42,-96.25,2,C4,858,10799,0.55,0.9,7.49,1704.61,6.95,,GEN,2
4,Barry,CAP_GEN_P3,3,15,17,AL,31,-88.01,4,C1,362,10168,0.5,0.9,2.97,756.6,7.88,,GEN,2
