"IGRP","PLANT_NAME","SITE_NAME","PLANT_CODE","EMM_REGION","FuelRegion","STATE","LAT","LON","UNIT_ID","ECPT","SCAP","HeatRate","CF","R_CO2","CO2_EMIS","CAP_COST","VAR_COST","ACTIVE","SOURCE_TYPE","HR_ADJ"
2815.00,"R M Heskett","CAP_GEN_P2790",2790.00,3.00,7.00,"ND",46.86,-100.88,"2","C4",74.80,13265.00,0.61,0.90,0.80,326.67,11.80,,"GEN",
2822.00,"Leland Olds","CAP_GEN_P2817",2817.00,19.00,7.00,"ND",47.28,-101.32,"1","C4",221.00,11985.00,0.55,0.90,2.14,1234.93,8.65,,"GEN",
2824.00,"Leland Olds","CAP_GEN_P2817",2817.00,19.00,7.00,"ND",47.28,-101.32,"2","C4",445.00,11800.00,0.55,0.90,4.24,1842.38,7.21,,"GEN",
2828.00,"Milton R Young","CAP_GEN_P2823",2823.00,3.00,7.00,"ND",47.06,-101.21,"1","C4",237.00,11787.00,0.80,0.90,2.25,653.81,8.43,,"GEN",
2831.00,"Milton R Young","CAP_GEN_P2823",2823.00,3.00,7.00,"ND",47.06,-101.21,"2","C4",447.00,11534.00,0.79,0.90,4.17,906.02,7.28,,"GEN",
2834.00,"Cardinal","CAP_GEN_P2828",2828.00,11.00,4.00,"OH",40.25,-80.64,"1","C7",585.00,9908.00,0.64,0.90,4.68,998.17,6.98,,"GEN",
2836.00,"Cardinal","CAP_GEN_P2828",2828.00,11.00,4.00,"OH",40.25,-80.64,"2","C7",585.00,9872.00,0.63,0.90,4.67,1006.94,6.96,,"GEN",
2838.00,"Cardinal","CAP_GEN_P2828",2828.00,11.00,4.00,"OH",40.25,-80.64,"3","C7",620.00,10087.00,0.59,0.90,5.05,1073.14,6.77,,"GEN",
2852.00,"Miami Fort","CAP_GEN_P2832",2832.00,11.00,4.00,"OH",39.11,-84.80,"7","C7",510.00,10322.00,0.70,0.90,4.25,954.25,7.12,,"GEN",
2854.00,"Miami Fort","CAP_GEN_P2832",2832.00,11.00,4.00,"OH",39.11,-84.80,"8","C7",510.00,10387.00,0.75,0.90,4.28,905.44,7.28,,"GEN",
2860.00,"Avon Lake","CAP_GEN_P2836",2836.00,11.00,4.00,"OH",41.50,-82.05,"9","C1",627.00,10928.00,0.50,0.90,5.54,1018.02,6.92,,"GEN",
2908.00,"W H Sammis","CAP_GEN_P2866",2866.00,11.00,4.00,"OH",40.53,-80.63,"5","C4",290.00,11945.00,0.50,0.90,2.80,680.02,8.28,,"GEN",
2910.00,"W H Sammis","CAP_GEN_P2866",2866.00,11.00,4.00,"OH",40.53,-80.63,"6","H7",600.00,11221.00,0.50,0.90,5.44,1045.90,6.84,,"GEN",
2913.00,"W H Sammis","CAP_GEN_P2866",2866.00,11.00,4.00,"OH",40.53,-80.63,"7","H7",600.00,11279.00,0.50,0.90,5.47,1037.21,6.87,,"GEN",
2923.00,"Kyger Creek","CAP_GEN_P2876",2876.00,11.00,4.00,"OH",38.91,-82.12,"1","C7",194.00,10797.00,0.64,0.90,1.69,504.22,9.38,,"GEN",
2925.00,"Kyger Creek","CAP_GEN_P2876",2876.00,11.00,4.00,"OH",38.91,-82.12,"2","C7",192.20,10759.00,0.61,0.90,1.67,508.83,9.34,,"GEN",
