KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
79,1005352,43.1788,-93.2118,IA,Midwest,"""West North Central""",4,3,7,Dry,1,0.90913204,1804.494202,425718.5,1,1,1,1,1,0.06,0.88,0,0,0,0,0,0.05,0,790.350437,77.67291924,78.24082957,344713.4058,9082.528796,4635.852233,83.25738177,2.284456004,0
80,1004758,25.786463,-80.421113,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.724809005,1935.40622,709711.5,1,1,1,1,1,0.02,0,0.02,0.92,0,0.02,0,0,0.02,1075.090909,74.42696545,74.55324246,338808.7695,8926.953095,4556.444176,97.43712022,2.673526474,0
81,1002531,46.54448,-111.92062,MT,West,"""Mountain""",8,7,19,Wet,4,0.819261186,3193.538718,299291.6,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,310.5818182,89.86976839,92.09714007,734192.5282,19344.54729,9873.732827,159.2901033,4.370678313,0
82,1004078,39.6524,-77.6805,MD,South,"""South Atlantic""",5,1,13,Dry,1,0.908427287,2444.44695,417740,1,1,1,1,1,0.47,0,0.5,0,0,0.03,0,0,0,592.4925301,87.71244477,89.64629841,494886.7763,13039.30547,6655.447476,124.9324607,3.427956824,0
83,1007208,29.610784,-98.373309,TX,South,"""West South Central""",7,2,18,Dry,1,0.714642761,2497.731218,815122.5,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,960.020661,63.70999279,62.37815535,431104.9236,11358.77751,5797.682042,137.9625294,3.48238707,0
84,1006450,40.75037,-75.27114,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,3,0.747462176,1400.006602,579634.8,1,1,1,1,1,0,0,0.23,0,0.22,0.08,0.3,0,0.16,1274.181818,82.55429241,83.78634558,268970.6479,7086.85422,3617.231467,74.5745803,2.04621313,0
85,1006185,45.944769,-111.477076,MT,West,"""Mountain""",8,7,19,Wet,4,0.820063821,3134.02996,276589,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,299.4898373,95.12168621,98.06361578,656012.2825,17284.64964,8822.331691,130.0842454,3.569313966,0
86,1007563,38.109942,-90.257947,MO,Midwest,"""West North Central""",4,3,9,0,0,0.749757646,226.7996243,369585,1,1,0,1,0,0.47,0,0,0.03,0,0,0,0,0.5,4984.825195,28.16025681,26.99164453,189894.6905,5003.356311,2553.784419,96.53037082,2.648646649,0
87,1007563,38.109942,-90.257947,MO,Midwest,"""West North Central""",4,3,9,Dry,1,0.749757646,1534.150744,2503458,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,4984.825195,28.16025681,26.99164453,189894.6905,5003.356311,2553.784419,96.53037082,2.648646649,0
88,1006785,40.7948,-79.70017,PA,Northeast,"""Middle Atlantic""",2,1,3,Wet,4,0.761153027,3213.505944,191472.1,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,183.1636364,107.5475309,112.1800782,883446.1652,23277.09077,11880.95911,155.7759186,4.274254426,0
