TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
H-B Process,10,1,200,0,0
H-B Process,10,2,200,0,0
H-B Process,10,3,200,0,0
H-B Process,10,4,200,0,0
H-B Process,10,5,200,0,0
H-B Process,10,6,200,0,0
H-B Process,10,7,200,0,0
H-B Process,10,8,200,0,0
H-B Process,10,9,200,0,0
H-B Process,10,10,200,0,0
H-B Process,10,11,200,0,0
H-B Process,10,12,200,0,0
H-B Process,10,13,200,0,0
H-B Process,10,14,200,0,0
H-B Process,10,15,200,0,0
H-B Process,10,16,200,0,0
H-B Process,10,17,200,0,0
H-B Process,10,18,200,0,0
H-B Process,10,19,200,0,0
H-B Process,10,20,200,0,0
H-B Process,10,21,200,0,0
H-B Process,10,22,200,0,0
H-B Process,10,23,200,0,0
H-B Process,10,24,200,0,0
H-B Process,10,25,200,0,0
H-B Process,10,26,200,0,0
H-B Process,10,27,200,0,0
H-B Process,10,28,200,0,0
H-B Process,10,29,200,0,0
H-B Process,10,30,200,0,0
H-B Process,10,31,200,0,0
H-B Process,10,32,200,0,0
H-B Process,10,33,200,0,0
H-B Process,10,34,200,0,0
H-B Process,10,35,200,0,0
H-B Process,10,36,200,0,0
H-B Process,10,37,200,0,0
H-B Process,10,38,200,0,0
H-B Process,10,39,200,0,0
H-B Process,10,40,200,0,0
H-B Process,10,41,200,0,0
H-B Process,10,42,200,0,0
H-B Process,10,43,200,0,0
H-B Process,10,44,200,0,0
H-B Process,10,45,200,0,0
H-B Process,10,46,200,0,0
H-B Process,10,47,200,0,0
H-B Process,10,48,200,0,0
H-B Process,10,49,200,0,0
H-B Process,10,50,200,0,0
H-B Process,10,51,200,0,0
H-B Process,10,52,200,0,0
H-B Process,10,53,200,0,0
H-B Process,10,54,200,0,0
H-B Process,10,55,200,0,0
H-B Process,10,56,200,0,0
H-B Process,10,57,200,0,0
H-B Process,10,58,200,0,0
H-B Process,10,59,200,0,0
H-B Process,10,60,200,0,0
H-B Process,10,61,200,0,0
H-B Process,11,1,200,0,0
H-B Process,11,2,200,0,0
H-B Process,11,3,200,0,0
H-B Process,11,4,200,0,0
H-B Process,11,5,200,0,0
H-B Process,11,6,200,0,0
H-B Process,11,7,200,0,0
H-B Process,11,8,200,0,0
H-B Process,11,9,200,0,0
H-B Process,11,10,200,0,0
H-B Process,11,11,200,0,0
H-B Process,11,12,200,0,0
H-B Process,11,13,200,0,0
H-B Process,11,14,200,0,0
H-B Process,11,15,200,0,0
H-B Process,11,16,200,0,0
H-B Process,11,17,200,0,0
H-B Process,11,18,200,0,0
H-B Process,11,19,200,0,0
