Policy,Tech,MNUMYR,Value
LCA_TECH,SC,55,0
LCA_TECH,SC,56,0
LCA_TECH,SC,57,0
LCA_TECH,SC,58,0
LCA_TECH,SC,59,0
LCA_TECH,SC,60,0
LCA_TECH,SC,61,0
LCA_TECH,GAS_CL_CCS,1,0
LCA_TECH,GAS_CL_CCS,2,0
LCA_TECH,GAS_CL_CCS,3,0
LCA_TECH,GAS_CL_CCS,4,0
LCA_TECH,GAS_CL_CCS,5,0
LCA_TECH,GAS_CL_CCS,6,0
LCA_TECH,GAS_CL_CCS,7,0
LCA_TECH,GAS_CL_CCS,8,0
LCA_TECH,GAS_CL_CCS,9,0
LCA_TECH,GAS_CL_CCS,10,0
LCA_TECH,GAS_CL_CCS,11,0
LCA_TECH,GAS_CL_CCS,12,0
LCA_TECH,GAS_CL_CCS,13,0
LCA_TECH,GAS_CL_CCS,14,0
LCA_TECH,GAS_CL_CCS,15,0
LCA_TECH,GAS_CL_CCS,16,0
LCA_TECH,GAS_CL_CCS,17,0
LCA_TECH,GAS_CL_CCS,18,0
LCA_TECH,GAS_CL_CCS,19,0
LCA_TECH,GAS_CL_CCS,20,0
LCA_TECH,GAS_CL_CCS,21,0
LCA_TECH,GAS_CL_CCS,22,0
LCA_TECH,GAS_CL_CCS,23,0
LCA_TECH,GAS_CL_CCS,24,3
LCA_TECH,GAS_CL_CCS,25,3
LCA_TECH,GAS_CL_CCS,26,3
LCA_TECH,GAS_CL_CCS,27,3
LCA_TECH,GAS_CL_CCS,28,3
LCA_TECH,GAS_CL_CCS,29,3
LCA_TECH,GAS_CL_CCS,30,3
LCA_TECH,GAS_CL_CCS,31,3
LCA_TECH,GAS_CL_CCS,32,3
LCA_TECH,GAS_CL_CCS,33,3
LCA_TECH,GAS_CL_CCS,34,3
LCA_TECH,GAS_CL_CCS,35,3
