TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,8,9,100,0.2,0.1
Saline Cavern,8,10,100,0.2,0.1
Saline Cavern,8,11,100,0.2,0.1
Saline Cavern,8,12,100,0.2,0.1
Saline Cavern,8,13,100,0.2,0.1
Saline Cavern,8,14,100,0.2,0.1
Saline Cavern,8,15,100,0.2,0.1
Saline Cavern,8,16,100,0.2,0.1
Saline Cavern,8,17,100,0.2,0.1
Saline Cavern,8,18,100,0.2,0.1
Saline Cavern,8,19,100,0.2,0.1
Saline Cavern,8,20,100,0.2,0.1
Saline Cavern,8,21,100,0.2,0.1
Saline Cavern,8,22,100,0.2,0.1
Saline Cavern,8,23,100,0.2,0.1
Saline Cavern,8,24,100,0.2,0.1
Saline Cavern,8,25,100,0.2,0.1
Saline Cavern,8,26,100,0.2,0.1
Saline Cavern,8,27,100,0.2,0.1
Saline Cavern,8,28,100,0.2,0.1
Saline Cavern,8,29,100,0.2,0.1
Saline Cavern,8,30,100,0.2,0.1
Saline Cavern,8,31,100,0.2,0.1
Saline Cavern,8,32,100,0.2,0.1
Saline Cavern,8,33,100,0.2,0.1
Saline Cavern,8,34,100,0.2,0.1
Saline Cavern,8,35,100,0.2,0.1
Saline Cavern,8,36,100,0.2,0.1
Saline Cavern,8,37,100,0.2,0.1
Saline Cavern,8,38,100,0.2,0.1
Saline Cavern,8,39,100,0.2,0.1
Saline Cavern,8,40,100,0.2,0.1
Saline Cavern,8,41,100,0.2,0.1
Saline Cavern,8,42,100,0.2,0.1
Saline Cavern,8,43,100,0.2,0.1
Saline Cavern,8,44,100,0.2,0.1
Saline Cavern,8,45,100,0.2,0.1
Saline Cavern,8,46,100,0.2,0.1
Saline Cavern,8,47,100,0.2,0.1
Saline Cavern,8,48,100,0.2,0.1
Saline Cavern,8,49,100,0.2,0.1
Saline Cavern,8,50,100,0.2,0.1
Saline Cavern,8,51,100,0.2,0.1
Saline Cavern,8,52,100,0.2,0.1
Saline Cavern,8,53,100,0.2,0.1
Saline Cavern,8,54,100,0.2,0.1
Saline Cavern,8,55,100,0.2,0.1
Saline Cavern,8,56,100,0.2,0.1
Saline Cavern,8,57,100,0.2,0.1
Saline Cavern,8,58,100,0.2,0.1
Saline Cavern,8,59,100,0.2,0.1
Saline Cavern,8,60,100,0.2,0.1
Saline Cavern,8,61,100,0.2,0.1
Saline Cavern,9,1,100,0.2,0.1
Saline Cavern,9,2,100,0.2,0.1
Saline Cavern,9,3,100,0.2,0.1
Saline Cavern,9,4,100,0.2,0.1
Saline Cavern,9,5,100,0.2,0.1
Saline Cavern,9,6,100,0.2,0.1
Saline Cavern,9,7,100,0.2,0.1
Saline Cavern,9,8,100,0.2,0.1
Saline Cavern,9,9,100,0.2,0.1
Saline Cavern,9,10,100,0.2,0.1
Saline Cavern,9,11,100,0.2,0.1
Saline Cavern,9,12,100,0.2,0.1
Saline Cavern,9,13,100,0.2,0.1
Saline Cavern,9,14,100,0.2,0.1
Saline Cavern,9,15,100,0.2,0.1
Saline Cavern,9,16,100,0.2,0.1
Saline Cavern,9,17,100,0.2,0.1
Saline Cavern,9,18,100,0.2,0.1
Saline Cavern,9,19,100,0.2,0.1
Saline Cavern,9,20,100,0.2,0.1
Saline Cavern,9,21,100,0.2,0.1
Saline Cavern,9,22,100,0.2,0.1
