KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
52,1005360,42.49756,-73.813652,NY,Northeast,"""Middle Atlantic""",2,1,2,Dry,3,0.810646929,1712.310312,1014544,1,1,1,1,1,0.95,0,0,0,0,0.05,0,0,0,1205.783465,73.54972677,73.5566497,328610.2852,8658.242839,4419.290629,102.4985579,2.812404632,0,1005360_1
53,1005622,40.715359,-75.400859,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,3,0.721666667,2096.688939,536986.1,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,866.3489556,82.82426769,84.09305277,371970.808,9800.708407,5002.421349,102.4985579,2.812404631,0,1005622_1
54,1002537,47.56799,-122.34255,WA,West,"""Pacific""",9,6,22,Wet,4,0.949806452,1859.998763,365487,1,1,1,1,1,0,0.95,0.05,0,0,0,0,0,0,497.4600873,93.13313427,95.80450829,472725.9638,12455.4111,6357.419462,111.419681,2.812404631,0,1002537_1
55,1002055,32.512975,-96.971099,TX,South,"""West South Central""",7,2,18,Dry,1,0.784700147,1947.220601,626667,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,874.3341062,28.7693894,27.6836536,295913.8406,7796.755023,3979.574961,111.4196811,2.812404632,0,1002055_1
56,1002055,32.512975,-96.971099,TX,South,"""West South Central""",7,2,18,Dry,1,0.784700147,1996.944703,819169,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,874.3341062,28.7693894,27.6836536,295913.8406,7796.755023,3979.574961,111.4196811,2.812404632,0,1002055_2
57,1003008,38.386367,-105.017688,CO,West,"""Mountain""",8,5,20,Dry,3,0.84881298,1599.425694,981672,1,1,1,1,1,0.29,0.31,0.12,0.28,0,0,0,0,0,1097.053167,75.82719217,76.14397921,351937.7494,9272.876222,4733.008274,111.4196811,2.812404632,0,1003008_1
58,1004612,40.7369,-122.3223,CA,West,"""Pacific""",9,6,23,Dry,1,0.918250431,1693.27622,290641,1,1,1,1,1,0.02,0.92,0.02,0.02,0,0,0,0.02,0.02,406.7113949,103.6012396,107.6968681,509711.6682,13429.91258,6854.818916,111.419681,2.812404632,0,1004612_1
59,1002566,35.12279,-118.369304,CA,West,"""Pacific""",9,6,23,Dry,3,0.792876319,1750.812451,556751,1,1,1,1,1,0.03,0,0,0,0.47,0,0,0,0.5,765.1775221,90.93985113,93.3128146,402510.9818,10605.38268,5413.138574,111.4196811,2.812404632,0,1002566_1
60,1002527,44.5428,-117.4218,OR,West,"""Pacific""",9,6,22,Dry,1,0.777721795,2044.094445,691828.4,1,1,1,1,1,0.45,0.03,0.5,0,0,0,0,0,0.03,984.8045069,70.29552971,69.85969778,354513.3485,9340.738255,4767.646023,102.4985579,2.812404631,0,1002527_1
61,1003067,38.129058,-104.606741,CO,West,"""Mountain""",8,5,20,Dry,3,0.737025912,1947.429727,739967,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1151.742331,75.08112961,75.29640994,345621.0316,9106.442976,4648.058369,111.4196811,2.812404631,0,1003067_1
