Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    5                                 4  40                                                                  2.11
    5                                 4  41                                                                  2.11
    5                                 4  42                                                                  9.67
    5                                 5  34                                                                 76.32
    5                                 5  35                                                                  2.08
    5                                 5  36                                                                  2.09
    5                                 5  37                                                                  2.09
    5                                 5  38                                                                  2.10
    5                                 5  39                                                                  2.10
    5                                 5  40                                                                  2.11
    5                                 5  41                                                                  2.11
    5                                 5  42                                                                  9.50
    5                                 6  34                                                                 76.32
    5                                 6  35                                                                  2.08
    5                                 6  36                                                                  2.09
    5                                 6  37                                                                  2.09
    5                                 6  38                                                                  2.10
    5                                 6  39                                                                  2.10
    5                                 6  40                                                                  2.11
    5                                 6  41                                                                  2.11
    5                                 6  42                                                                  9.50
    5                                 7  34                                                                 76.32
    5                                 7  35                                                                 76.32
    5                                 7  36                                                                  2.10
    5                                 7  37                                                                  2.09
    5                                 7  38                                                                  2.10
    5                                 7  39                                                                  2.10
    5                                 7  40                                                                  2.11
    5                                 7  41                                                                  2.11
    5                                 7  42                                                                  9.67
    5                                 8  34                                                                 76.32
    5                                 8  35                                                                  2.08
    5                                 8  36                                                                  2.09
    5                                 8  37                                                                  2.09
    5                                 8  38                                                                  2.10
    5                                 8  39                                                                  2.10
    5                                 8  40                                                                  2.11
    5                                 8  41                                                                  2.11
    5                                 8  42                                                                  9.67
    5                                 9  34                                                                 76.32
    5                                 9  35                                                                  2.08
    5                                 9  36                                                                  2.09
    5                                 9  37                                                                  2.09
    5                                 9  38                                                                  2.10
    5                                 9  39                                                                  2.10
    5                                 9  40                                                                  2.11
    5                                 9  41                                                                  2.11
    5                                 9  42                                                                 11.52
    5                                10  34                                                                 76.32
    5                                10  35                                                                  4.86
    5                                10  36                                                                  4.93
    5                                10  37                                                                  5.00
    5                                10  38                                                                  5.08
    5                                10  39                                                                  5.16
    5                                10  40                                                                  5.25
    5                                10  41                                                                  5.32
    5                                10  42                                                                  5.41
    6                                 1  34                                                                 76.32
    6                                 1  35                                                                 76.32
    6                                 1  36                                                                 76.32
    6                                 1  37                                                                  2.09
    6                                 1  38                                                                  2.10
    6                                 1  39                                                                  2.10
    6                                 1  40                                                                  2.50
    6                                 1  41                                                                  2.11
    6                                 1  42                                                                  9.92
    6                                 2  34                                                                 76.32
    6                                 2  35                                                                  2.08
    6                                 2  36                                                                  2.09
    6                                 2  37                                                                  2.09
    6                                 2  38                                                                  2.10
    6                                 2  39                                                                  2.10
    6                                 2  40                                                                  2.11
    6                                 2  41                                                                  2.11
    6                                 2  42                                                                  9.50
    6                                 3  34                                                                 76.32
    6                                 3  35                                                                 76.32
    6                                 3  36                                                                  2.09
    6                                 3  37                                                                  2.09
    6                                 3  38                                                                  2.10
    6                                 3  39                                                                  2.10
    6                                 3  40                                                                  2.11
    6                                 3  41                                                                  2.11
    6                                 3  42                                                                  9.67
    6                                 4  34                                                                 76.32
    6                                 4  35                                                                 76.32
    6                                 4  36                                                                  2.09
    6                                 4  37                                                                  2.09
    6                                 4  38                                                                  2.10
    6                                 4  39                                                                  2.10
    6                                 4  40                                                                  2.11
    6                                 4  41                                                                  2.11
